x,y,u,v,psi,w
0.0,0.0,0.0,0.0,0.0,0.0
0.010101010101010102,0.0,0.0,0.0,0.0,-0.00145815483227582
0.020202020202020204,0.0,0.0,0.0,0.0,-0.0049459670453347124
0.030303030303030304,0.0,0.0,0.0,0.0,-0.008828820249821293
0.04040404040404041,0.0,0.0,0.0,0.0,-0.011933811125912807
0.05050505050505051,0.0,0.0,0.0,0.0,-0.013551085227212586
0.06060606060606061,0.0,0.0,0.0,0.0,-0.013283455997999762
0.07070707070707072,0.0,0.0,0.0,0.0,-0.010929213682891804
0.08080808080808081,0.0,0.0,0.0,0.0,-0.006408508083801674
0.09090909090909091,0.0,0.0,0.0,0.0,0.000280993548558056
0.10101010101010102,0.0,0.0,0.0,0.0,0.009091073713884557
0.11111111111111112,0.0,0.0,0.0,0.0,0.019939828707848477
0.12121212121212122,0.0,0.0,0.0,0.0,0.03272256837452021
0.13131313131313133,0.0,0.0,0.0,0.0,0.04731909499504856
0.14141414141414144,0.0,0.0,0.0,0.0,0.06359871451508299
0.15151515151515152,0.0,0.0,0.0,0.0,0.08142378420496389
0.16161616161616163,0.0,0.0,0.0,0.0,0.1006522892438007
0.17171717171717174,0.0,0.0,0.0,0.0,0.12113975863411658
0.18181818181818182,0.0,0.0,0.0,0.0,0.1427407212113191
0.19191919191919193,0.0,0.0,0.0,0.0,0.16530983460478682
0.20202020202020204,0.0,0.0,0.0,0.0,0.18870277686825307
0.21212121212121213,0.0,0.0,0.0,0.0,0.21277696247197153
0.22222222222222224,0.0,0.0,0.0,0.0,0.237392125782408
0.23232323232323235,0.0,0.0,0.0,0.0,0.26241080264271766
0.24242424242424243,0.0,0.0,0.0,0.0,0.2876987321084529
0.25252525252525254,0.0,0.0,0.0,0.0,0.31312519446220716
0.26262626262626265,0.0,0.0,0.0,0.0,0.33856329747464414
0.27272727272727276,0.0,0.0,0.0,0.0,0.36389021993779874
0.2828282828282829,0.0,0.0,0.0,0.0,0.3889874193964583
0.29292929292929293,0.0,0.0,0.0,0.0,0.41374080949227127
0.30303030303030304,0.0,0.0,0.0,0.0,0.43804091123971456
0.31313131313131315,0.0,0.0,0.0,0.0,0.46178298175284743
0.32323232323232326,0.0,0.0,0.0,0.0,0.4848671233523762
0.33333333333333337,0.0,0.0,0.0,0.0,0.5071983755440023
0.3434343434343435,0.0,0.0,0.0,0.0,0.528686792028433
0.3535353535353536,0.0,0.0,0.0,0.0,0.5492475046498849
0.36363636363636365,0.0,0.0,0.0,0.0,0.5688007759909507
0.37373737373737376,0.0,0.0,0.0,0.0,0.5872720421610157
0.38383838383838387,0.0,0.0,0.0,0.0,0.6045919471910484
0.393939393939394,0.0,0.0,0.0,0.0,0.6206963703308334
0.4040404040404041,0.0,0.0,0.0,0.0,0.6355264474392235
0.4141414141414142,0.0,0.0,0.0,0.0,0.6490285875591519
0.42424242424242425,0.0,0.0,0.0,0.0,0.66115448567373
0.43434343434343436,0.0,0.0,0.0,0.0,0.6718611325454154
0.4444444444444445,0.0,0.0,0.0,0.0,0.6811108224455038
0.4545454545454546,0.0,0.0,0.0,0.0,0.6888711594850608
0.4646464646464647,0.0,0.0,0.0,0.0,0.6951150631603586
0.4747474747474748,0.0,0.0,0.0,0.0,0.6998207736257428
0.48484848484848486,0.0,0.0,0.0,0.0,0.702971857104659
0.494949494949495,0.0,0.0,0.0,0.0,0.7045572117455987
0.5050505050505051,0.0,0.0,0.0,0.0,0.7045710741243835
0.5151515151515152,0.0,0.0,0.0,0.0,0.7030130264880114
0.5252525252525253,0.0,0.0,0.0,0.0,0.6998880047288071
0.5353535353535354,0.0,0.0,0.0,0.0,0.6952063069715642
0.5454545454545455,0.0,0.0,0.0,0.0,0.6889836025513012
0.5555555555555556,0.0,0.0,0.0,0.0,0.6812409410559629
0.5656565656565657,0.0,0.0,0.0,0.0,0.6720047610074236
0.5757575757575758,0.0,0.0,0.0,0.0,0.6613068976561782
0.5858585858585859,0.0,0.0,0.0,0.0,0.649184589270598
0.595959595959596,0.0,0.0,0.0,0.0,0.6356804812110357
0.6060606060606061,0.0,0.0,0.0,0.0,0.6208426269926308
0.6161616161616162,0.0,0.0,0.0,0.0,0.6047244854584553
0.6262626262626263,0.0,0.0,0.0,0.0,0.5873849131064431
0.6363636363636365,0.0,0.0,0.0,0.0,0.5688881505388275
0.6464646464646465,0.0,0.0,0.0,0.0,0.5493038019305252
0.6565656565656566,0.0,0.0,0.0,0.0,0.5287068063415064
0.6666666666666667,0.0,0.0,0.0,0.0,0.5071773996252421
0.6767676767676768,0.0,0.0,0.0,0.0,0.48480106560749436
0.686868686868687,0.0,0.0,0.0,0.0,0.4616684751222047
0.696969696969697,0.0,0.0,0.0,0.0,0.43787541138756625
0.7070707070707072,0.0,0.0,0.0,0.0,0.4135226800765357
0.7171717171717172,0.0,0.0,0.0,0.0,0.38871600226988945
0.7272727272727273,0.0,0.0,0.0,0.0,0.3635658882597636
0.7373737373737375,0.0,0.0,0.0,0.0,0.3381874898746697
0.7474747474747475,0.0,0.0,0.0,0.0,0.3127004285918953
0.7575757575757577,0.0,0.0,0.0,0.0,0.2872285961466254
0.7676767676767677,0.0,0.0,0.0,0.0,0.2618999235785956
0.7777777777777778,0.0,0.0,0.0,0.0,0.23684611359152732
0.787878787878788,0.0,0.0,0.0,0.0,0.21220232961702662
0.797979797979798,0.0,0.0,0.0,0.0,0.18810683289912553
0.8080808080808082,0.0,0.0,0.0,0.0,0.1647005559948925
0.8181818181818182,0.0,0.0,0.0,0.0,0.14212659694659238
